experience_months,matching_skill_count,matching_skill_percent,experience_score,resume_score,role_similarity_score,shortlisted
82,10.0,43.48,58.57,48.01,50.74542617797852,1
240,2.0,28.57,100.0,50.0,29.5466423034668,1
108,11.0,28.95,77.14,43.41,40.34574890136719,1
0,2.0,14.29,0.0,10.0,32.04396438598633,0
120,4.0,50.0,85.71,60.71,51.076133728027344,1
10,3.0,42.86,7.14,32.14,21.064529418945312,1
47,10.0,38.46,33.57,36.99,14.160929679870604,1
70,9.0,56.25,50.0,54.38,47.21343231201172,1
0,3.0,37.5,0.0,26.25,47.14085388183594,0
336,3.0,14.29,100.0,40.0,38.683712005615234,1
76,2.0,18.18,54.29,29.01,20.30009078979492,1
413,7.0,63.64,100.0,74.55,22.265199661254883,1
347,5.0,38.46,100.0,56.92,47.15470504760742,1
100,6.0,15.79,71.43,32.48,59.68855667114258,1
30,4.0,33.33,21.43,29.76,43.39311218261719,1
18,2.0,14.29,12.86,13.86,16.73974609375,1
6,2.0,22.22,4.29,16.84,47.13792037963867,1
49,12.0,52.17,35.0,47.02,41.24518203735352,1
70,9.0,56.25,50.0,54.38,47.21343231201172,1
48,3.0,14.29,34.29,20.29,50.63600540161133,1
0,11.0,68.75,0.0,48.12,50.31530380249024,0
145,6.0,15.38,100.0,40.77,47.19845199584961,1
12,5.0,41.67,8.57,31.74,42.41764068603516,1
0,1.0,11.11,0.0,7.78,36.80459976196289,0
90,7.0,50.0,64.29,54.29,32.31297302246094,1
103,11.0,78.57,73.57,77.07,34.28677749633789,1
12,5.0,41.67,8.57,31.74,42.41764068603516,1
215,5.0,38.46,100.0,56.92,38.03501129150391,1
36,7.0,31.82,25.71,29.99,40.16301727294922,1
0,2.0,20.0,0.0,14.0,46.29946517944336,0
195,6.0,42.86,100.0,60.0,33.96768951416016,1
108,11.0,28.95,77.14,43.41,40.34574890136719,1
240,2.0,28.57,100.0,50.0,29.5466423034668,1
145,6.0,15.38,100.0,40.77,47.19845199584961,1
24,6.0,27.27,17.14,24.23,50.74444961547852,1
90,7.0,53.85,64.29,56.98,62.214351654052734,1
90,4.0,28.57,64.29,39.29,14.535117149353027,1
82,10.0,43.48,58.57,48.01,50.74542617797852,1
4,3.0,42.86,2.86,30.86,31.35429573059082,1
144,19.0,48.72,100.0,64.1,45.42509841918945,1
90,4.0,28.57,64.29,39.29,14.535117149353027,1
98,4.0,17.39,70.0,33.17,53.72257995605469,1
9,4.0,18.18,6.43,14.66,40.14003372192383,1
24,4.0,28.57,17.14,25.14,51.46327209472656,1
103,11.0,78.57,73.57,77.07,34.28677749633789,1
156,9.0,81.82,100.0,87.27,8.145353317260742,1
24,5.0,62.5,17.14,48.89,46.906246185302734,1
195,6.0,42.86,100.0,60.0,33.96768951416016,1
123,8.0,44.44,87.86,57.47,54.93272399902344,1
18,7.0,70.0,12.86,52.86,46.109901428222656,1
18,2.0,14.29,12.86,13.86,16.73974609375,1
103,11.0,78.57,73.57,77.07,34.28677749633789,1
47,10.0,38.46,33.57,36.99,14.160929679870604,1
0,3.0,21.43,0.0,15.0,38.54662704467773,0
70,9.0,56.25,50.0,54.38,47.21343231201172,1
144,11.0,61.11,100.0,72.78,35.0181999206543,1
70,9.0,56.25,50.0,54.38,47.21343231201172,1
100,6.0,15.79,71.43,32.48,59.68855667114258,1
347,5.0,38.46,100.0,56.92,47.15470504760742,1
18,2.0,14.29,12.86,13.86,16.73974609375,1
96,2.0,28.57,68.57,40.57,36.715126037597656,1
166,3.0,42.86,100.0,60.0,41.62906265258789,1
312,7.0,53.85,100.0,67.69,49.39725875854492,1
0,1.0,20.0,0.0,14.0,30.618572235107425,0
47,8.0,40.0,33.57,38.07,44.57701873779297,1
198,12.0,60.0,100.0,72.0,31.238779067993164,1
65,15.0,65.22,46.43,59.58,26.89504051208496,1
72,10.0,38.46,51.43,42.35,52.733177185058594,1
0,11.0,50.0,0.0,35.0,52.63520050048828,0
48,1.0,14.29,34.29,20.29,21.4119815826416,1
12,1.0,11.11,8.57,10.35,49.248634338378906,1
0,11.0,68.75,0.0,48.12,50.31530380249024,0
0,2.0,10.0,0.0,7.0,30.619346618652344,0
18,4.0,28.57,12.86,23.86,32.314083099365234,1
0,1.0,12.5,0.0,8.75,51.01959609985352,0
195,6.0,42.86,100.0,60.0,33.96768951416016,1
253,9.0,42.86,100.0,60.0,32.43128204345703,1
12,13.0,33.33,8.57,25.9,38.795806884765625,1
251,6.0,27.27,100.0,49.09,44.8046989440918,1
145,6.0,15.38,100.0,40.77,47.19845199584961,1
0,2.0,15.38,0.0,10.77,57.105098724365234,0
284,12.0,31.58,100.0,52.11,43.57735061645508,1
30,2.0,28.57,21.43,26.43,35.388816833496094,1
65,4.0,50.0,46.43,48.93,47.74720764160156,1
120,4.0,19.05,85.71,39.05,44.10457611083984,1
18,6.0,23.08,12.86,20.01,54.14874649047852,1
100,6.0,15.79,71.43,32.48,59.68855667114258,1
18,2.0,14.29,12.86,13.86,16.73974609375,1
126,8.0,38.1,90.0,53.67,35.201053619384766,1
257,6.0,85.71,100.0,90.0,33.51286697387695,1
108,11.0,28.95,77.14,43.41,40.34574890136719,1
65,4.0,50.0,46.43,48.93,47.74720764160156,1
139,9.0,45.0,99.29,61.29,41.24699020385742,1
70,9.0,56.25,50.0,54.38,47.21343231201172,1
245,10.0,45.45,100.0,61.82,54.07373428344727,1
108,11.0,28.95,77.14,43.41,40.34574890136719,1
49,12.0,52.17,35.0,47.02,41.24518203735352,1
0,5.0,41.67,0.0,29.17,43.60877990722656,0
251,6.0,27.27,100.0,49.09,44.8046989440918,1
18,7.0,70.0,12.86,52.86,46.109901428222656,1
70,9.0,56.25,50.0,54.38,47.21343231201172,1
0,11.0,68.75,0.0,48.12,50.31530380249024,0
413,7.0,63.64,100.0,74.55,22.265199661254883,1
18,4.0,28.57,12.86,23.86,32.314083099365234,1
0,9.0,40.91,0.0,28.64,44.63466262817383,0
468,6.0,46.15,100.0,62.31,57.68750381469727,1
41,6.0,26.09,29.29,27.05,51.92742919921875,1
36,7.0,31.82,25.71,29.99,40.16301727294922,1
138,11.0,47.83,98.57,63.05,49.2647705078125,1
30,2.0,25.0,21.43,23.93,35.72981262207031,1
96,2.0,28.57,68.57,40.57,36.715126037597656,1
276,5.0,35.71,100.0,55.0,46.72349548339844,1
100,6.0,15.79,71.43,32.48,59.68855667114258,1
24,2.0,12.5,17.14,13.89,39.657657623291016,1
90,4.0,28.57,64.29,39.29,14.535117149353027,1
0,1.0,12.5,0.0,8.75,51.01959609985352,0
284,12.0,31.58,100.0,52.11,43.57735061645508,1
12,3.0,30.0,8.57,23.57,49.30868148803711,1
216,5.0,50.0,100.0,65.0,46.506629943847656,1
157,9.0,39.13,100.0,57.39,66.57498931884766,1
0,3.0,42.86,0.0,30.0,11.49566650390625,0
24,2.0,12.5,17.14,13.89,39.657657623291016,1
0,1.0,12.5,0.0,8.75,51.01959609985352,0
396,5.0,38.46,100.0,56.92,52.0478744506836,1
166,3.0,42.86,100.0,60.0,41.62906265258789,1
47,8.0,40.0,33.57,38.07,44.57701873779297,1
74,7.0,33.33,52.86,39.19,47.4081916809082,1
120,4.0,19.05,85.71,39.05,44.10457611083984,1
30,1.0,4.35,21.43,9.47,33.73612594604492,1
96,2.0,28.57,68.57,40.57,36.715126037597656,1
108,11.0,28.95,77.14,43.41,40.34574890136719,1
98,4.0,17.39,70.0,33.17,53.72257995605469,1
251,6.0,27.27,100.0,49.09,44.8046989440918,1
336,3.0,14.29,100.0,40.0,38.683712005615234,1
30,1.0,4.35,21.43,9.47,33.73612594604492,1
24,5.0,62.5,17.14,48.89,46.906246185302734,1
100,6.0,15.79,71.43,32.48,59.68855667114258,1
30,9.0,39.13,21.43,33.82,19.934553146362305,1
12,7.0,33.33,8.57,25.9,41.34083938598633,1
0,9.0,40.91,0.0,28.64,44.63466262817383,0
49,12.0,52.17,35.0,47.02,41.24518203735352,1
284,12.0,31.58,100.0,52.11,43.57735061645508,1
90,4.0,28.57,64.29,39.29,14.535117149353027,1
65,15.0,65.22,46.43,59.58,26.89504051208496,1
157,9.0,39.13,100.0,57.39,66.57498931884766,1
0,2.0,14.29,0.0,10.0,32.04396438598633,0
12,1.0,10.0,8.57,9.57,45.04989242553711,1
12,3.0,30.0,8.57,23.57,49.30868148803711,1
36,5.0,35.71,25.71,32.71,50.45859909057617,1
0,5.0,38.46,0.0,26.92,71.28791809082031,0
197,7.0,70.0,100.0,79.0,43.84996032714844,1
1200,6.0,85.71,100.0,90.0,43.70004653930664,1
156,9.0,81.82,100.0,87.27,8.145353317260742,1
257,6.0,85.71,100.0,90.0,33.51286697387695,1
170,10.0,55.56,100.0,68.89,52.94206237792969,1
108,11.0,28.95,77.14,43.41,40.34574890136719,1
24,8.0,61.54,17.14,48.22,36.00724029541016,1
6,3.0,13.04,4.29,10.42,54.000030517578125,1
18,4.0,28.57,12.86,23.86,32.314083099365234,1
276,5.0,35.71,100.0,55.0,46.72349548339844,1
30,2.0,28.57,21.43,26.43,35.388816833496094,1
149,13.0,59.09,100.0,71.36,38.5566520690918,1
24,8.0,61.54,17.14,48.22,36.00724029541016,1
140,5.0,62.5,100.0,73.75,45.1878547668457,1
284,12.0,31.58,100.0,52.11,43.57735061645508,1
139,9.0,45.0,99.29,61.29,41.24699020385742,1
65,15.0,65.22,46.43,59.58,26.89504051208496,1
253,9.0,42.86,100.0,60.0,32.43128204345703,1
157,9.0,39.13,100.0,57.39,66.57498931884766,1
30,2.0,28.57,21.43,26.43,35.388816833496094,1
24,6.0,27.27,17.14,24.23,50.74444961547852,1
284,12.0,31.58,100.0,52.11,43.57735061645508,1
100,6.0,15.79,71.43,32.48,59.68855667114258,1
0,3.0,30.0,0.0,21.0,47.65704727172852,0
41,6.0,26.09,29.29,27.05,51.92742919921875,1
86,5.0,21.74,61.43,33.65,61.00921630859375,1
24,5.0,62.5,17.14,48.89,46.906246185302734,1
24,4.0,28.57,17.14,25.14,51.46327209472656,1
251,6.0,27.27,100.0,49.09,44.8046989440918,1
36,7.0,31.82,25.71,29.99,40.16301727294922,1
6,4.0,17.39,4.29,13.46,49.68193817138672,1
15,2.0,20.0,10.71,17.21,36.881229400634766,1
284,12.0,31.58,100.0,52.11,43.57735061645508,1
90,4.0,28.57,64.29,39.29,14.535117149353027,1
0,2.0,14.29,0.0,10.0,32.04396438598633,0
30,9.0,39.13,21.43,33.82,19.934553146362305,1
108,11.0,28.95,77.14,43.41,40.34574890136719,1
30,9.0,39.13,21.43,33.82,19.934553146362305,1
284,12.0,31.58,100.0,52.11,43.57735061645508,1
72,4.0,28.57,51.43,35.43,47.463035583496094,1
72,10.0,38.46,51.43,42.35,52.733177185058594,1
0,2.0,14.29,0.0,10.0,32.04396438598633,0
18,6.0,23.08,12.86,20.01,54.14874649047852,1
24,1.0,20.0,17.14,19.14,19.950580596923828,1
257,6.0,85.71,100.0,90.0,33.51286697387695,1
413,7.0,63.64,100.0,74.55,22.265199661254883,1
192,12.0,75.0,100.0,82.5,47.83545684814453,1
188,7.0,58.33,100.0,70.83,47.42951202392578,1
60,7.0,17.95,42.86,25.42,49.024295806884766,1
188,7.0,58.33,100.0,70.83,47.42951202392578,1
70,9.0,56.25,50.0,54.38,47.21343231201172,1
468,6.0,46.15,100.0,62.31,57.68750381469727,1
30,9.0,39.13,21.43,33.82,19.934553146362305,1
72,4.0,28.57,51.43,35.43,47.463035583496094,1
276,5.0,35.71,100.0,55.0,46.72349548339844,1
90,4.0,28.57,64.29,39.29,14.535117149353027,1
446,8.0,38.1,100.0,56.67,27.23031616210937,1
24,1.0,20.0,17.14,19.14,19.950580596923828,1
234,16.0,61.54,100.0,73.08,39.85112380981445,1
240,2.0,28.57,100.0,50.0,29.5466423034668,1
0,11.0,50.0,0.0,35.0,52.63520050048828,0
72,10.0,38.46,51.43,42.35,52.733177185058594,1
76,2.0,18.18,54.29,29.01,20.30009078979492,1
0,5.0,22.73,0.0,15.91,56.270145416259766,0
18,6.0,23.08,12.86,20.01,54.14874649047852,1
144,11.0,61.11,100.0,72.78,35.0181999206543,1
30,2.0,25.0,21.43,23.93,35.72981262207031,1
82,10.0,43.48,58.57,48.01,50.74542617797852,1
276,5.0,35.71,100.0,55.0,46.72349548339844,1
48,7.0,30.43,34.29,31.59,37.77492904663086,1
0,9.0,40.91,0.0,28.64,44.63466262817383,0
30,9.0,39.13,21.43,33.82,19.934553146362305,1
0,1.0,12.5,0.0,8.75,51.01959609985352,0
72,4.0,10.26,51.43,22.61,46.31779861450195,1
149,13.0,59.09,100.0,71.36,38.5566520690918,1
284,12.0,31.58,100.0,52.11,43.57735061645508,1
56,8.0,34.78,40.0,36.35,33.1649284362793,1
284,12.0,31.58,100.0,52.11,43.57735061645508,1
3936,3.0,14.29,100.0,40.0,26.05067443847656,1
0,5.0,41.67,0.0,29.17,43.60877990722656,0
162,8.0,38.1,100.0,56.67,35.778682708740234,1
413,7.0,63.64,100.0,74.55,22.265199661254883,1
360,3.0,60.0,100.0,72.0,34.79530334472656,1
276,5.0,35.71,100.0,55.0,46.72349548339844,1
3936,3.0,14.29,100.0,40.0,26.05067443847656,1
47,10.0,38.46,33.57,36.99,14.160929679870604,1
139,9.0,45.0,99.29,61.29,41.24699020385742,1
120,3.0,30.0,85.71,46.71,48.48793029785156,1
30,6.0,66.67,21.43,53.1,20.515405654907227,1
96,14.0,35.9,68.57,45.7,41.28313064575195,1
24,6.0,27.27,17.14,24.23,50.74444961547852,1
120,4.0,50.0,85.71,60.71,51.076133728027344,1
0,3.0,42.86,0.0,30.0,11.49566650390625,0
144,19.0,48.72,100.0,64.1,45.42509841918945,1
150,8.0,44.44,100.0,61.11,46.55548095703125,1
240,2.0,28.57,100.0,50.0,29.5466423034668,1
12,1.0,10.0,8.57,9.57,45.04989242553711,1
24,6.0,27.27,17.14,24.23,50.74444961547852,1
82,10.0,43.48,58.57,48.01,50.74542617797852,1
0,3.0,30.0,0.0,21.0,47.65704727172852,0
39,6.0,30.0,27.86,29.36,28.541963577270508,1
468,6.0,46.15,100.0,62.31,57.68750381469727,1
0,9.0,39.13,0.0,27.39,61.7741813659668,0
72,10.0,38.46,51.43,42.35,52.733177185058594,1
18,7.0,70.0,12.86,52.86,46.109901428222656,1
0,2.0,28.57,0.0,20.0,19.355693817138672,0
12,1.0,11.11,8.57,10.35,28.66590690612793,1
411,13.0,59.09,100.0,71.36,46.983642578125,1
100,6.0,15.79,71.43,32.48,59.68855667114258,1
0,3.0,42.86,0.0,30.0,11.49566650390625,0
0,3.0,21.43,0.0,15.0,38.54662704467773,0
188,7.0,58.33,100.0,70.83,47.42951202392578,1
150,8.0,44.44,100.0,61.11,46.55548095703125,1
12,1.0,11.11,8.57,10.35,49.248634338378906,1
103,11.0,78.57,73.57,77.07,34.28677749633789,1
72,4.0,10.26,51.43,22.61,46.31779861450195,1
0,11.0,68.75,0.0,48.12,50.31530380249024,0
12,1.0,11.11,8.57,10.35,28.66590690612793,1
120,3.0,30.0,85.71,46.71,48.48793029785156,1
0,5.0,21.74,0.0,15.22,48.504512786865234,0
0,1.0,12.5,0.0,8.75,51.01959609985352,0
0,11.0,50.0,0.0,35.0,52.63520050048828,0
30,2.0,25.0,21.43,23.93,35.72981262207031,1
36,5.0,35.71,25.71,32.71,50.45859909057617,1
12,2.0,22.22,8.57,18.13,41.09485626220703,1
0,5.0,21.74,0.0,15.22,48.504512786865234,0
0,9.0,40.91,0.0,28.64,43.395606994628906,0
126,8.0,38.1,90.0,53.67,35.201053619384766,1
48,3.0,14.29,34.29,20.29,50.63600540161133,1
0,3.0,37.5,0.0,26.25,47.14085388183594,0
413,7.0,63.64,100.0,74.55,22.265199661254883,1
166,3.0,42.86,100.0,60.0,41.62906265258789,1
120,4.0,19.05,85.71,39.05,44.10457611083984,1
30,4.0,18.18,21.43,19.16,48.15403366088867,1
31,5.0,22.73,22.14,22.55,44.610008239746094,1
24,4.0,28.57,17.14,25.14,51.46327209472656,1
195,6.0,42.86,100.0,60.0,33.96768951416016,1
30,1.0,4.35,21.43,9.47,33.73612594604492,1
216,5.0,50.0,100.0,65.0,46.506629943847656,1
30,2.0,25.0,21.43,23.93,35.72981262207031,1
0,11.0,68.75,0.0,48.12,50.31530380249024,0
47,10.0,38.46,33.57,36.99,14.160929679870604,1
48,3.0,14.29,34.29,20.29,46.2794303894043,1
6,3.0,13.04,4.29,10.42,54.000030517578125,1
76,2.0,18.18,54.29,29.01,20.30009078979492,1
36,7.0,31.82,25.71,29.99,40.16301727294922,1
36,5.0,35.71,25.71,32.71,50.45859909057617,1
245,10.0,45.45,100.0,61.82,54.07373428344727,1
96,2.0,28.57,68.57,40.57,36.715126037597656,1
18,6.0,23.08,12.86,20.01,54.14874649047852,1
6,4.0,17.39,4.29,13.46,49.68193817138672,1
84,7.0,17.95,60.0,30.56,35.24974060058594,1
90,4.0,28.57,64.29,39.29,14.535117149353027,1
24,4.0,28.57,17.14,25.14,51.46327209472656,1
47,10.0,38.46,33.57,36.99,14.160929679870604,1
30,6.0,66.67,21.43,53.1,20.515405654907227,1
120,4.0,50.0,85.71,60.71,51.076133728027344,1
72,4.0,10.26,51.43,22.61,46.31779861450195,1
149,13.0,59.09,100.0,71.36,38.5566520690918,1
18,7.0,70.0,12.86,52.86,46.109901428222656,1
198,12.0,60.0,100.0,72.0,31.238779067993164,1
618,5.0,38.46,100.0,56.92,67.69851684570312,1
114,4.0,17.39,81.43,36.6,67.05879211425781,1
12,1.0,20.0,8.57,16.57,30.069589614868164,1
138,11.0,47.83,98.57,63.05,49.2647705078125,1
0,2.0,7.69,0.0,5.38,58.77143859863281,0
6,3.0,13.04,4.29,10.42,54.000030517578125,1
0,9.0,40.91,0.0,28.64,43.395606994628906,0
166,3.0,42.86,100.0,60.0,41.62906265258789,1
149,13.0,33.33,100.0,53.33,39.34391784667969,1
65,4.0,50.0,46.43,48.93,47.74720764160156,1
108,11.0,28.95,77.14,43.41,40.34574890136719,1
6,3.0,13.04,4.29,10.42,54.000030517578125,1
12,3.0,30.0,8.57,23.57,49.30868148803711,1
0,11.0,68.75,0.0,48.12,50.31530380249024,0
83,9.0,50.0,59.29,52.79,46.09029769897461,1
90,7.0,50.0,64.29,54.29,32.31297302246094,1
108,11.0,28.95,77.14,43.41,40.34574890136719,1
72,4.0,28.57,51.43,35.43,47.463035583496094,1
12,1.0,10.0,8.57,9.57,45.04989242553711,1
90,4.0,28.57,64.29,39.29,14.535117149353027,1
12,1.0,10.0,8.57,9.57,45.04989242553711,1
150,8.0,44.44,100.0,61.11,46.55548095703125,1
30,2.0,28.57,21.43,26.43,35.388816833496094,1
239,15.0,57.69,100.0,70.38,44.65376281738281,1
65,15.0,65.22,46.43,59.58,26.89504051208496,1
72,10.0,38.46,51.43,42.35,52.733177185058594,1
413,7.0,63.64,100.0,74.55,22.265199661254883,1
24,5.0,62.5,17.14,48.89,46.906246185302734,1
149,13.0,59.09,100.0,71.36,38.5566520690918,1
76,2.0,18.18,54.29,29.01,20.30009078979492,1
411,13.0,59.09,100.0,71.36,46.983642578125,1
76,2.0,18.18,54.29,29.01,20.30009078979492,1
15,2.0,20.0,10.71,17.21,36.881229400634766,1
30,6.0,66.67,21.43,53.1,20.515405654907227,1
30,4.0,18.18,21.43,19.16,48.15403366088867,1
239,15.0,57.69,100.0,70.38,44.65376281738281,1
56,8.0,34.78,40.0,36.35,33.1649284362793,1
149,13.0,59.09,100.0,71.36,38.5566520690918,1
257,6.0,85.71,100.0,90.0,33.51286697387695,1
84,7.0,17.95,60.0,30.56,35.24974060058594,1
0,3.0,37.5,0.0,26.25,47.14085388183594,0
36,7.0,31.82,25.71,29.99,40.16301727294922,1
70,9.0,56.25,50.0,54.38,47.21343231201172,1
0,3.0,30.0,0.0,21.0,47.65704727172852,0
30,2.0,25.0,21.43,23.93,35.72981262207031,1
0,10.0,43.48,0.0,30.43,58.89906311035156,0
195,6.0,42.86,100.0,60.0,33.96768951416016,1
198,12.0,60.0,100.0,72.0,31.238779067993164,1
197,7.0,70.0,100.0,79.0,43.84996032714844,1
0,10.0,43.48,0.0,30.43,58.89906311035156,0
0,9.0,40.91,0.0,28.64,43.395606994628906,0
60,1.0,12.5,42.86,21.61,57.0535774230957,1
24,8.0,61.54,17.14,48.22,36.00724029541016,1
1200,6.0,85.71,100.0,90.0,43.70004653930664,1
215,5.0,38.46,100.0,56.92,38.03501129150391,1
56,8.0,34.78,40.0,36.35,33.1649284362793,1
0,1.0,20.0,0.0,14.0,30.808115005493164,0
157,9.0,39.13,100.0,57.39,66.57498931884766,1
72,2.0,40.0,51.43,43.43,35.17287826538086,1
411,13.0,59.09,100.0,71.36,46.983642578125,1
157,9.0,39.13,100.0,57.39,66.57498931884766,1
24,5.0,62.5,17.14,48.89,46.906246185302734,1
411,13.0,59.09,100.0,71.36,46.983642578125,1
10,3.0,42.86,7.14,32.14,21.064529418945312,1
100,6.0,15.79,71.43,32.48,59.68855667114258,1
72,21.0,53.85,51.43,53.12,51.2411003112793,1
156,9.0,81.82,100.0,87.27,8.145353317260742,1
30,1.0,11.11,21.43,14.21,37.28743362426758,1
1200,6.0,85.71,100.0,90.0,43.70004653930664,1
0,3.0,30.0,0.0,21.0,47.65704727172852,0
65,15.0,65.22,46.43,59.58,26.89504051208496,1
0,5.0,38.46,0.0,26.92,71.28791809082031,0
12,3.0,60.0,8.57,44.57,34.16072082519531,1
